Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:39:57 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.4,              1,       1e-08,       1e-08,    4,         3,        0.4,        0
   1,      0.6,              1,       1e-08,       1e-08,    2,         0,        0.6,        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     47,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     48,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     49,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     50,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     51,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000, 108.15396838, 108.15396838,6060.72266903,   0.00193943,   1.00000000, 376.00000000,   0.00009246
     52,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  28.21625143,  28.21625143,19996.68119677,   0.00639894,   2.00000000, 230.50000000,   0.00070881
     53,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     54,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  65.61666669,  65.61666669,10506.82943914,   0.00336219,   1.00000000, 228.00000000,   0.00015240
     55,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     56,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  51.85000008,  51.85000008,11611.03047896,   0.00371553,   1.00000000, 187.00000000,   0.00019286
     57,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     58,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  41.50000004,  41.50000004,11841.32622854,   0.00378922,   1.00000000, 165.00000000,   0.00024096
     59,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  50.58333337,  50.58333337,12202.56253813,   0.00390482,   1.00000000, 156.00000000,   0.00019769
     60,                  1,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,  54.75000004,  54.75000004,12062.72617612,   0.00386007,   1.00000000, 171.00000000,   0.00018265
     61,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  73.88333338,  73.88333338,9911.62137606,   0.00317172,   1.00000000, 245.00000000,   0.00013535
     62,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     63,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  25.28282662,  25.28282662,23767.71768533,   0.00760567,   2.00000000, 198.50000000,   0.00079105
     64,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  59.20119053,  59.20119053,12357.23647257,   0.00395432,   1.00000000, 196.00000000,   0.00016892
     65,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  89.75952391,  89.75952391,8854.47045348,   0.00283343,   1.00000000, 332.00000000,   0.00011141
     66,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  58.11666676,  58.11666676,13087.57770749,   0.00418802,   1.00000000, 216.00000000,   0.00017207
     67,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  58.00119053,  58.00119053,12113.87038159,   0.00387644,   1.00000000, 193.00000000,   0.00017241
     68,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  73.35952392,  73.35952392,7813.27512650,   0.00250025,   1.00000000, 319.00000000,   0.00013631
     69,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     70,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  78.78333338,  78.78333338,8610.79219288,   0.00275545,   1.00000000, 319.00000000,   0.00012693
     71,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  56.05833336,  56.05833336,12253.29307251,   0.00392105,   1.00000000, 209.00000000,   0.00017839
     72,                  1,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,  51.58333334,  51.58333334,11181.51323146,   0.00357808,   1.00000000, 180.00000000,   0.00019386
     73,                  0,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     74,                  1,0.00100000,     0.00000000            ,1.00000000            ,0.00000000,  25.21274940,  25.21274940,23125.36548747,   0.00740012,   2.00000000, 205.00000000,   0.00079325
     75,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  44.55952387,  44.55952387,10655.97686131,   0.00340991,   1.00000000, 211.00000000,   0.00022442
     76,                  1,0.00000000,     0.00000000            ,1.00000000            ,0.00000000,  68.89285722,  68.89285722,12425.66787965,   0.00397621,   1.00000000, 226.00000000,   0.00014515
     77,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  71.20833337,  71.20833337,11048.70638063,   0.00353559,   1.00000000, 219.00000000,   0.00014043
     78,                  0,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,   0.00000000,   0.00000000,100000.00000000,   0.30000000,   0.00000000,   0.00000000,   0.00000000
     79,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  60.80833338,  60.80833338,11415.52511416,   0.00365297,   1.00000000, 199.00000000,   0.00016445
     80,                  1,0.00000000,     0.00100000            ,1.00000000            ,0.00000000,  57.21666672,  57.21666672,12801.36547898,   0.00409644,   1.00000000, 192.00000000,   0.00017477
