Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:01:19 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;      0.4;              1;       1e-08;       1e-08;    4;         3;        0.4;        0
   1;      0.6;              1;       1e-08;       1e-08;    2;         0;        0.6;        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     38;                  1;0.00600000;     0.00900000            ;1.00000000            ;0.00000000; 113.52556591; 113.52556591;124243.15631622;   0.00198789;   3.00000000;1383.66666667;   0.00005285
     39;                  0;0.00200000;     0.01000000            ;1.00000000            ;0.00000000;   0.00000000;   0.00000000;100000.00000000;   0.30000000;   0.00000000;   0.00000000;   0.00000000
     40;                  1;0.00600000;     0.00900000            ;1.00000000            ;0.00000000; 111.22074583; 111.22074583;132523.59808204;   0.00212038;   3.00000000;1191.33333333;   0.00005395
     41;                  1;0.00600000;     0.00900000            ;1.00000000            ;0.00000000; 204.31156522; 204.31156522;63089.47011960;   0.00100943;   2.00000000;1757.00000000;   0.00001958
     42;                  1;0.00800000;     0.00900000            ;1.00000000            ;0.00000000; 143.80894057; 143.80894057;102696.58726340;   0.00164315;   3.00000000;1800.33333333;   0.00004172
     43;                  1;0.00500000;     0.01000000            ;1.00000000            ;0.00000000; 175.88496154; 175.88496154;80172.92025534;   0.00128277;   2.00000000;1324.00000000;   0.00002274
     44;                  1;0.00400000;     0.00900000            ;1.00000000            ;0.00000000; 463.70912760; 463.70912760;30670.31176632;   0.00049072;   1.00000000;1851.00000000;   0.00000431
     45;                  1;0.00400000;     0.00900000            ;1.00000000            ;0.00000000; 542.98730230; 542.98730230;28578.73231981;   0.00045726;   1.00000000;2099.00000000;   0.00000368
     46;                  1;0.00600000;     0.00900000            ;1.00000000            ;0.00000000; 239.11796515; 239.11796515;68108.34874827;   0.00108973;   2.00000000;1688.00000000;   0.00001673
     47;                  1;0.00600000;     0.01000000            ;1.00000000            ;0.00000000; 320.62427888; 320.62427888;41355.47183841;   0.00066169;   1.00000000;1266.00000000;   0.00000624
     48;                  1;0.00300000;     0.01000000            ;1.00000000            ;0.00000000; 503.07335223; 503.07335223;32046.79849940;   0.00051275;   1.00000000;1781.00000000;   0.00000398
     49;                  1;0.00600000;     0.00800000            ;1.00000000            ;0.00000000; 347.80476243; 347.80476243;34957.31632229;   0.00055932;   1.00000000;1715.00000000;   0.00000575
     50;                  1;0.00400000;     0.00900000            ;1.00000000            ;0.00000000; 179.62711633; 179.62711633;82771.75244906;   0.00132435;   2.00000000;1357.00000000;   0.00002227
     51;                  1;0.00600000;     0.00900000            ;1.00000000            ;0.00000000; 195.06888612; 195.06888612;83775.82296916;   0.00134041;   2.00000000;1336.00000000;   0.00002051
     52;                  1;0.00500000;     0.00900000            ;1.00000000            ;0.00000000; 170.19027922; 170.19027922;76434.24380131;   0.00122295;   2.00000000;1363.00000000;   0.00002350
     53;                  1;0.00300000;     0.01100000            ;1.00000000            ;0.00000000; 378.07420698; 378.07420698;38858.03088050;   0.00062173;   1.00000000;1504.00000000;   0.00000529
     54;                  1;0.00800000;     0.00900000            ;1.00000000            ;0.00000000; 185.08769873; 185.08769873;84356.29298828;   0.00134970;   2.00000000;1312.50000000;   0.00002161
     55;                  1;0.00900000;     0.01000000            ;1.00000000            ;0.00000000; 163.56934127; 163.56934127;91728.84536831;   0.00146766;   3.00000000;1900.33333333;   0.00003668
     56;                  1;0.00700000;     0.00900000            ;1.00000000            ;0.00000000; 337.33571474; 337.33571474;43149.03994928;   0.00069038;   1.00000000;1427.00000000;   0.00000593
     57;                  1;0.00700000;     0.01000000            ;1.00000000            ;0.00000000; 194.75618663; 194.75618663;80414.22215965;   0.00128663;   2.00000000;1526.50000000;   0.00002054
     58;                  1;0.00900000;     0.00900000            ;1.00000000            ;0.00000000; 191.37122519; 191.37122519;79115.58089909;   0.00126585;   2.00000000;1398.00000000;   0.00002090
