Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:01:51 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.2,              1,       1e-08,       1e-08,    4,         3,        0.2,        0
   1,      0.8,              1,       1e-08,       1e-08,    2,         0,        0.8,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     44,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.47779271,   3.47779271,5366182.64036266,   0.08585892, 109.00000000, 762.76146789,   0.06268344
     45,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.49067195,   3.49067195,5367216.45861071,   0.08587546, 109.00000000, 758.38532110,   0.06245216
     46,                  1,0.04500000,     0.01000000            ,1.00000000            ,0.00000000,   3.45816508,   3.45816508,5309790.16551822,   0.08495664, 108.00000000, 762.00000000,   0.06246087
     47,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.45407252,   3.45407252,5315703.42473972,   0.08505125, 108.00000000, 757.89814815,   0.06253488
     48,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.46335796,   3.46335796,5325077.81249855,   0.08520124, 108.00000000, 764.85185185,   0.06236722
     49,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.39666263,   3.39666263,5571193.86174662,   0.08913910, 113.00000000, 762.69911504,   0.06653590
     50,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.50515344,   3.50515344,5262181.35101843,   0.08419490, 107.00000000, 758.85046729,   0.06105296
     51,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.52464696,   3.52464696,5380585.46703367,   0.08608937, 109.00000000, 763.94495413,   0.06185017
     52,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.44363393,   3.44363393,5316500.44004022,   0.08506401, 108.00000000, 763.26851852,   0.06272444
     53,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.37736457,   3.37736457,5452818.62395224,   0.08724510, 111.00000000, 759.48648649,   0.06573173
     54,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.28850221,   3.28850221,5595800.23978795,   0.08953280, 114.00000000, 754.67543860,   0.06933248
     55,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.58609425,   3.58609425,5169948.38354180,   0.08271917, 105.00000000, 762.84761905,   0.05855953
     56,                  1,0.04600000,     0.00900000            ,1.00000000            ,0.00000000,   3.19054183,   3.19054183,5621357.29268696,   0.08994171, 115.00000000, 747.18260870,   0.07208807
     57,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.46940207,   3.46940207,5462618.38926684,   0.08740189, 111.00000000, 761.92792793,   0.06398797
     58,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.35371539,   3.35371539,5507395.17161869,   0.08811832, 112.00000000, 758.46428571,   0.06679160
     59,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.46985728,   3.46985728,5302265.23920498,   0.08483624, 108.00000000, 757.24074074,   0.06225040
     60,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.46522857,   3.46522857,5248330.09446218,   0.08397328, 107.00000000, 758.36448598,   0.06175639
     61,                  1,0.04600000,     0.00900000            ,1.00000000            ,0.00000000,   3.30910029,   3.30910029,5652492.68021242,   0.09043988, 115.00000000, 757.46086957,   0.06950530
     62,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.32222517,   3.32222517,5712656.44006440,   0.09140250, 116.00000000, 761.38793103,   0.06983271
     63,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.45396922,   3.45396922,5256866.46363881,   0.08410986, 107.00000000, 762.31775701,   0.06195770
     64,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.36905122,   3.36905122,5564297.00295600,   0.08902875, 113.00000000, 763.87610619,   0.06708120
     65,                  1,0.04600000,     0.01000000            ,1.00000000            ,0.00000000,   3.40402979,   3.40402979,5457850.25158216,   0.08732560, 111.00000000, 761.58558559,   0.06521682
     66,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.44981057,   3.44981057,5355587.60526573,   0.08568940, 109.00000000, 764.29357798,   0.06319188
     67,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.45031441,   3.45031441,5258865.75260737,   0.08414185, 107.00000000, 759.32710280,   0.06202333
     68,                  1,0.04300000,     0.00800000            ,1.00000000            ,0.00000000,   3.56971117,   3.56971117,5265407.91849235,   0.08424652, 107.00000000, 762.83177570,   0.05994883
     69,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.54014746,   3.54014746,5159372.24496967,   0.08254995, 105.00000000, 759.86666667,   0.05931956
     70,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.45545970,   3.45545970,5484010.94541903,   0.08774417, 111.00000000, 768.98198198,   0.06424616
     71,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.62673100,   3.62673100,5024376.84964338,   0.08039003, 102.00000000, 766.88235294,   0.05624900
     72,                  1,0.04800000,     0.00800000            ,1.00000000            ,0.00000000,   3.26302007,   3.26302007,5704260.67569769,   0.09126817, 116.00000000, 758.52586207,   0.07109978
     73,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.53031496,   3.53031496,5220524.68920591,   0.08352839, 106.00000000, 765.30188679,   0.06005130
     74,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.39717586,   3.39717586,5457145.17775338,   0.08731432, 111.00000000, 757.66666667,   0.06534840
     75,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.38317563,   3.38317563,5572323.60911760,   0.08915718, 113.00000000, 759.81415929,   0.06680114
     76,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.59557988,   3.59557988,5236874.90598271,   0.08379000, 106.00000000, 771.24528302,   0.05896128
     77,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.52087239,   3.52087239,5340052.76119847,   0.08544084, 108.00000000, 767.39814815,   0.06134843
     78,                  1,0.04300000,     0.00900000            ,1.00000000            ,0.00000000,   3.45351011,   3.45351011,5468658.21203062,   0.08749853, 111.00000000, 761.74774775,   0.06428242
     79,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.36446741,   3.36446741,5606938.95662161,   0.08971102, 114.00000000, 757.54385965,   0.06776704
     80,                  1,0.04700000,     0.00800000            ,1.00000000            ,0.00000000,   3.25145241,   3.25145241,5580981.26537888,   0.08929570, 114.00000000, 750.73684211,   0.07012251
     81,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.57015909,   3.57015909,5228522.65340108,   0.08365636, 106.00000000, 767.97169811,   0.05938111
     82,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.38567909,   3.38567909,5520293.71839507,   0.08832470, 112.00000000, 757.58035714,   0.06616103
     83,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.38219270,   3.38219270,5296675.08703183,   0.08474680, 108.00000000, 753.57407407,   0.06386390
     84,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.55577906,   3.55577906,5167708.39669777,   0.08268333, 105.00000000, 766.02857143,   0.05905879
     85,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.42018280,   3.42018280,5353159.96123837,   0.08565056, 109.00000000, 759.04587156,   0.06373928
