Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:02 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;      0.3;              1;       1e-08;       1e-08;    4;         3;        0.3;        0
   1;      0.7;              1;       1e-08;       1e-08;    2;         0;        0.7;        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     43;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;  11.52560780;  11.52560780;59363.30473402;   0.01899626;   5.00000000; 189.40000000;   0.00433817
     44;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   5.39933160;   5.39933160;108667.14579897;   0.03477349;   9.00000000; 159.11111111;   0.01666873
     45;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   7.17073969;   7.17073969;69361.29740313;   0.02219561;   6.00000000; 160.16666667;   0.00836734
     46;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.72683291;   4.72683291;142747.53228306;   0.04567921;  12.00000000; 164.25000000;   0.02538698
     47;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.74715081;   6.74715081;91857.01070192;   0.02939424;   8.00000000; 176.12500000;   0.01185686
     48;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   5.73909537;   5.73909537;91506.20098769;   0.02928198;   8.00000000; 165.37500000;   0.01393948
     49;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   8.28707401;   8.28707401;82370.92326029;   0.02635869;   7.00000000; 188.00000000;   0.00844689
     50;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   7.42093850;   7.42093850;81652.49876008;   0.02612880;   7.00000000; 174.57142857;   0.00943277
     51;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.76077815;   5.76077815;95600.12086822;   0.03059204;   8.00000000; 159.75000000;   0.01388701
     52;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.98728196;   6.98728196;71702.53071884;   0.02294481;   6.00000000; 158.33333333;   0.00858703
     53;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   6.42583190;   6.42583190;86317.34474009;   0.02762155;   7.00000000; 157.28571429;   0.01089353
     54;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   7.07945519;   7.07945519;96709.34821116;   0.03094699;   8.00000000; 169.37500000;   0.01130030
