Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:06 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;     0.24;              1;       1e-08;       1e-08;    4;         3;       0.24;        0
   1;     0.76;              1;       1e-08;       1e-08;    2;         0;       0.76;        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     61;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.31753013;   3.31753013;177985.88076090;   0.05695548;  15.00000000; 145.40000000;   0.04521436
     62;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.79778530;   3.79778530;166029.50553865;   0.05312944;  14.00000000; 147.00000000;   0.03686359
     63;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.15961767;   3.15961767;186784.00744438;   0.05977088;  16.00000000; 145.75000000;   0.05063904
     64;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   4.23836338;   4.23836338;151903.46022761;   0.04860911;  13.00000000; 151.69230769;   0.03067222
     65;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   2.78384697;   2.78384697;172593.08793730;   0.05522979;  15.00000000; 137.53333333;   0.05388227
     66;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.50719335;   3.50719335;185936.41434796;   0.05949965;  16.00000000; 149.87500000;   0.04562052
     67;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.09987914;   3.09987914;189568.77103920;   0.06066201;  16.00000000; 140.81250000;   0.05161492
     68;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.25798542;   3.25798542;187730.98387714;   0.06007391;  16.00000000; 147.93750000;   0.04911010
     69;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.51171972;   3.51171972;175046.72367311;   0.05601495;  15.00000000; 145.26666667;   0.04271412
     70;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   2.97760818;   2.97760818;187867.14515533;   0.06011749;  16.00000000; 143.37500000;   0.05373440
     71;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.63429367;   3.63429367;152418.61144315;   0.04877395;  13.00000000; 147.84615385;   0.03577036
     72;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.36942923;   3.36942923;175755.03798553;   0.05624161;  15.00000000; 147.86666667;   0.04451793
     73;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.02850882;   3.02850882;187123.17892368;   0.05987942;  16.00000000; 142.25000000;   0.05283128
     74;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.02001072;   3.02001072;198879.40817180;   0.06364141;  17.00000000; 144.58823529;   0.05629119
     75;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.12957403;   4.12957403;151792.53076085;   0.04857361;  13.00000000; 155.84615385;   0.03148024
     76;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.58368941;   3.58368941;163688.28506283;   0.05238025;  14.00000000; 147.57142857;   0.03906589
     77;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.56483898;   3.56483898;189406.70795634;   0.06061015;  16.00000000; 148.37500000;   0.04488281
     78;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.19366335;   4.19366335;144535.02286712;   0.04625121;  12.00000000; 155.33333333;   0.02861460
     79;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.11038333;   3.11038333;187235.56021103;   0.05991538;  16.00000000; 145.12500000;   0.05144060
     80;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   3.07918276;   3.07918276;187997.01337155;   0.06015904;  16.00000000; 145.43750000;   0.05196184
     81;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   3.99715726;   3.99715726;167697.66723970;   0.05366325;  14.00000000; 156.21428571;   0.03502489
     82;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   4.39327336;   4.39327336;143276.05437269;   0.04584834;  12.00000000; 150.66666667;   0.02731449
     83;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.60993302;   3.60993302;177961.45237713;   0.05694766;  15.00000000; 151.40000000;   0.04155202
     84;                  1;0.00200000;     0.00000000            ;1.00000000            ;0.00000000;   2.85546044;   2.85546044;198327.61766908;   0.06346484;  17.00000000; 138.47058824;   0.05953506
