Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:03:59 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;     0.33;              1;       1e-08;       1e-08;    4;         3;       0.33;        0
   1;     0.67;              1;       1e-08;       1e-08;    2;         0;       0.67;        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
    119;                  1;0.02300000;     0.00800000            ;1.00000000            ;0.00000000;  12.17096670;  12.17096670;1197768.55602103;   0.01916430;  24.00000000; 969.16666667;   0.00394381
    120;                  1;0.02100000;     0.00900000            ;1.00000000            ;0.00000000;  12.34183203;  12.34183203;1204664.38970870;   0.01927463;  24.00000000; 956.16666667;   0.00388921
    121;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.45753445;  12.45753445;1196441.38490482;   0.01914306;  24.00000000; 967.12500000;   0.00385309
    122;                  1;0.02200000;     0.01200000            ;1.00000000            ;0.00000000;  14.77896231;  14.77896231;991551.54569494;   0.01586482;  20.00000000; 967.00000000;   0.00270655
    123;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.77910542;  11.77910542;1249006.07155232;   0.01998410;  25.00000000; 968.28000000;   0.00424480
    124;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  11.97935786;  11.97935786;1243686.91750094;   0.01989899;  25.00000000; 964.52000000;   0.00417385
    125;                  1;0.02100000;     0.00900000            ;1.00000000            ;0.00000000;  13.91525562;  13.91525562;1103985.39332067;   0.01766377;  22.00000000; 986.40909091;   0.00316200
    126;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  10.02133897;  10.02133897;1454574.85123124;   0.02327320;  29.00000000; 928.65517241;   0.00578765
    127;                  1;0.02100000;     0.00900000            ;1.00000000            ;0.00000000;  12.82474610;  12.82474610;1204977.91357063;   0.01927965;  24.00000000; 963.66666667;   0.00374276
    128;                  1;0.02100000;     0.00800000            ;1.00000000            ;0.00000000;  13.97250697;  13.97250697;1105795.73223490;   0.01769273;  22.00000000;1006.31818182;   0.00314904
    129;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  11.76519890;  11.76519890;1302632.78741092;   0.02084212;  26.00000000; 964.50000000;   0.00441981
    130;                  1;0.02600000;     0.00900000            ;1.00000000            ;0.00000000;  11.40820922;  11.40820922;1239482.96582351;   0.01983173;  25.00000000; 943.72000000;   0.00438281
    131;                  1;0.02500000;     0.00800000            ;1.00000000            ;0.00000000;  12.36796090;  12.36796090;1194484.60456911;   0.01911175;  24.00000000; 955.16666667;   0.00388100
    132;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.46818126;  11.46818126;1309353.58548776;   0.02094966;  26.00000000; 951.57692308;   0.00453428
    133;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  12.45994517;  12.45994517;1202757.34475410;   0.01924412;  24.00000000; 984.33333333;   0.00385234
    134;                  1;0.02300000;     0.00800000            ;1.00000000            ;0.00000000;  12.15727207;  12.15727207;1244404.97513769;   0.01991048;  25.00000000; 954.72000000;   0.00411276
    135;                  1;0.02500000;     0.00900000            ;1.00000000            ;0.00000000;  12.20522779;  12.20522779;1194863.77469265;   0.01911782;  24.00000000; 955.25000000;   0.00393274
    136;                  1;0.02400000;     0.00900000            ;1.00000000            ;0.00000000;  11.50184313;  11.50184313;1247826.03271113;   0.01996522;  25.00000000; 932.68000000;   0.00434713
    137;                  1;0.02300000;     0.00900000            ;1.00000000            ;0.00000000;  10.65381918;  10.65381918;1401122.00354068;   0.02241795;  28.00000000; 941.60714286;   0.00525633
    138;                  1;0.02400000;     0.00800000            ;1.00000000            ;0.00000000;  11.84982372;  11.84982372;1246820.28552582;   0.01994912;  25.00000000; 952.20000000;   0.00421947
    139;                  1;0.02200000;     0.00900000            ;1.00000000            ;0.00000000;  13.43577499;  13.43577499;1141686.47151725;   0.01826698;  23.00000000; 998.82608696;   0.00342370
